chunk_id,source_book,page,text_preview,current_semantic_tags,current_risk_levels,annotated_contraindications,annotated_risk_level,annotator_notes
ku_pdfbook_e3570105,善终守护师.pdf,7-7,"呼吸同频,心跳也一起律动。
这时,柴田老师以丰富的经验说明: ""通常
再 '难死' 的人,到了这样 '同命运。共呼吸一
的状态,身体也会越来越软,
面容全然放松,表
导读  唤醒沉睡的爱,生命接力重生
情柔和,此时就表示这个人即将撒手离去了。
柴田老师出生于日本素有 ""神话故乡""  之称
的岛根县出云市。从小她常看妈妈帮助残疾的穷
人; 爸爸则教导她 ""言语有灵"" ,必须谨慎用字.
言而有信。幼年时她常因哮喘发作而透不过气。
小学五年级有一次严重发作。妈妈担心得整夜一
直抱着她。半夜累得打盹。而她醒着在寂静中感
受妈妈怀抱的温暖和呼吸的轻柔。第一次强烈地
感受到母爱,
沉浸于幸福和喜悦之中。霎","死亡焦虑, 生命意义, 灵性需求",,,,
ku_pdfbook_bc5ec216,善终守护师.pdf,7-8,"但她毫不害怕,宛
如进人了另一个美好世界。从那时起。她不再恐
惧死亡。
后来她和普通人一样长大,
成家立业。她个
性上力求事事完美,但家庭和事业难以平衡,她
本人长期处于焦虑不安。左右为难又自责的恶性
善  终  守 护  师
循环中,最终对生命失去热情,甚至一时冲动做
了错误的选择一自杀
所幸被救回一命,然而
婚姻随之结束,
与三个孩子就此分离。她心绪一
片灰暗,什么也没带便离开了家。
后来。她与第二任丈夫重新创业。奈何生意
一直不好,经营得很辛苦。有一年圣诞节,她决
定将当天瞢业额全数捐给一家养老院,没想到店
员那天比平常更有活力,菅业额很高,客人和媒
体好评如潮,一股久违的暖意涌上了她心","死亡焦虑, 存在性痛苦, 生命意义, 哀伤与丧失, 抑郁情绪",,,,
ku_pdfbook_707ece20,善终守护师.pdf,15-16,"压力下变得似乎一刻也停
不下来的我
和家人的关系越来越紧张,
最终家
庭破裂。工作。家庭内外煎熬,
我开始酗酒。甚
至一度冲动。吞服了大量安眠药,渴望一了百
了。现在回想起来,才发现那时的我已经身心失
菁终 守 护  师
序,
脱离正常生活了。虽然急救保住了性命。但
家己分崩离析
我感觉自己失去了一切。
在人生绝境中
我默默转人看护领域工作,
没想到在那里我竟重新体会到了生命的温暖。也
重拾了尊严和信心,从此立志专注于看护工作。
透过与老人的心灵交流
我也感受到了深深的喜
悦。每天服侍老人家的过程中。心中莫名的如泉
涌般的幸福感悄悄愈合了我破碎伤痛的心。
只是。在养老院的工作中也会遇到一些很无","生命意义, 自杀意念, 灵性需求, 家属沟通, 告别与分离",,,,
ku_pdfbook_7c2afcff,善终守护师.pdf,37-37,"们的 .礼
物""  称为 ""生命接力棒'
就为了这生命的接力,
我奔波于日本全国各地。
2004年。我出版了《""谢谢
即是祈祷》这
本书。提到父亲在世时我年纪尚小,未能回报什
笫|章  善终守护的瞵间
么。然而,
我光是存在着,父亲临终都不忘对我
表达感谢
父亲留给我的 ""谢谢""
至今依然支持着我 ,
父亲的亡故可谓我成为善终守护师的原点。
与千代的 ""母女' 情分
在快要结冰的凛冽寒冬,我渴望春天来临,
终于盼到欢喜的弘法大师日 (农历三月十-日 )
了。岛根县离岛知夫里匕个村落的村民。在祠堂
前摆上许多供品,从早到晚都有村民来祭拜。
对于瘫在床上的老人家来说。这是一年中最
愉悦的日子。每到","生命意义, 灵性需求, 家属沟通, 告别与分离, 哀伤与丧失",,,,
ku_pdfbook_e8937c91,善终守护师.pdf,38-38," )的环境和身体状
况
询问他们是否想回家看看。
幸龄者千代多年前丧子后独居 .
媳妇偶尔会
由本岛来看她。其实她媳妇年纪也大了
腰都直
不起来。走路也走不稳。两年前只好把干代婆婆
善终 守 护  师
送到我们 .'平安之家""
千代婆婆来之后第-年的弘法大师日。我
们用轮椅把她送回了家。那天她先在祖先牌位前
合掌拜了拜。然后说她累了,想到自己房间躺
下
但去到自己的房间才发现。房内早已没了
床。她心情失落地回到 ""平安之家"" ,还为此和
我相拥而泣。
听到可以回家过一夜,欣喜丕己
第二年。我不想再让她伤心,便事前与她媳
妇商量。安排她孙女回来照顾老人家
准备让千
代在家过一夜。
媳妇说: ""我","未竟事务, 哀伤与丧失, 家属沟通, 告别与分离",,,,
ku_pdfbook_bb4e1a56,善终守护师.pdf,47-47,"
午饭后。年轻职员问马莎: ""你要不要洗澡?
""不要。我满腹辛酸
感觉时间到了! ,年
轻职员一听很吃惊,
立刻跑来叫我去看马莎。
马莎对我说: ""很苦啊!我的时间到了吧?
笫 |章  善终守护的眸间
我回她说: ""你有的是肘间,还走不了呢!
是吗?  你是明自人。在这里住过的美代,
后来是怎么回去的?
""美代走之前一个星期
知道迎接使者要到
了
她说想回家,
我就跟她一起回了家。我们在
她家为她送行,她走得很轻松。
'那富美呢
她又是怎么走的?
她在走之前两个星期知道迎接使者来了,
她是在睡梦中走的。若是有人来接你,我一定会
先告诉你。把这事交给我 !
""我听你这么说
还是没自信,真的没问题","死亡焦虑, 告别与分离, 灵性需求",,,,
ku_pdfbook_a27bd3bb,善终守护师.pdf,59-59,"活着.
每年就这么一天。等了又等。等待儿子这天带他
回家。然后父子一起对着祖先牌位祭拜。武雄总
是骄傲地跟人说
他儿子可是生下来两个月后 ,
就用当肘颇昂贵的奶粉喂养长大的
笫 |章  善终守护的辟间
儿子走后。武雄对着空气发呆 .
我牵起他的
手说: ""孩子虽在海外工作,
但每年都会回来看
您一次呀!您老人家人住
平安之家',他一回
到岛上 ,
总要先去跟邻居村民问个好。他很忙,
没办法。让我带您回家好吗?
武雄摇头说: ""谁都不在的家,
回去干啥?
我只好静静陪着他凝望大海。
我跟他约好了,明年还要跟他一起期盼中
元节。
对自己的经历充满骄傲,丕认老
过了立春。却依然下着雪
""平安之家"" ","存在性痛苦, 生命意义, 告别与分离, 哀伤与丧失, 抑郁情绪",,,,
ku_pdfbook_1e1c1228,善终守护师.pdf,67-68,"的和子,
奇迹般地活
过了夏天。秋天某日
她陷人呼吸衰竭的紧急状
态,被救护车送到医院。从那天开始。我们每天
通过电子邮件联系。她发愿说: ""若能恢复健康,
我愿将余生奉献给幼教工作。
她想读书。我选
菁 终  守 护  师
了几本寄给她。虽然已无法进食
但和子一直抱
着希望
忍着病痛阅读。为生命坚忍奋斗的和
子
在孩子们的眼里。像个圣女 !
和子的意志力告诉我,希望对人而言是多么
重要啊 !
萤着希望接受死亡的召唤
接到和子儿子的电话,
我立刻赶去。到医院
时
我看到年轻的孩子们忧心地陪伴在她身边。
和子说: ""谢谢你来看我。
她抓住我的手,
面露喜色。她读了我写的书《用拥抱送你走 》,
用","呼吸困难, 生命意义, 告别与分离",,,,
ku_pdfbook_fcfe218d,善终守护师.pdf,90-91,"呼吸与他人同步 ,将产生自己的存在
被人肯定的效果 ,
与他人身体合一的感觉。将引
导临终者走向平安的世界。
为了这么重要的临终场合,奉劝大家在日常
生活中就要开始锻炼呼吸法。
菁 终  守 护  师
善终守护师的具体工作内容
当临终者被宣告来日不多时
善终守护的工
作即可开始。我通常在这个阶段接到工作。
我常接到二三十岁的儿女来电,说他们
五六十岁的父母到了癌症末期
最近被医生宣告
即将走到人生终点
他们不知该怎么让父母幸福
地离开人世。
从临终者进人终末期治疗 (已无痊愈可能 )
到入殓前
我们听取临终者与家属的需要及想
法。为善终做一切可能的准备。
了解临终者心意
首先,
我们会跟临终者","家属沟通, 医疗决策, 居家安宁, 癌症末期",,,,
ku_pdfbook_aa40aeaf,善终守护师.pdf,93-94,"上联系医生。而是与家属一起感受临终者的余
温,等早晨再打电话给医生。因为医生也是人,
白天找医生来,
比深夜找来要容易沟通多了。有
关这种情况,必须事先与家属取得共识。
第2章  全钱买不到的临终华美
擦洗身体并帮临终者穿上他喜欢的衣服
善终守护师的工作是以死为前提而接下的
任务。虽然如此。我们会对家属说。在临终者本
人接纳死亡之前
请绝对不能放弃希望。关键在
于,
当本人接受了 ""死"" ,而迎接使者也降临了。
那时家属就可以开始送终了。
临终者逝去后。我们会与家属一起擦拭遗
体,
为死者穿上事先讨论过的最爱的一套衣服 ,
然后把其后的入殓及葬礼交给殡仪馆处理。善终
守护师主要是做精神上的支持","疼痛管理, 家属沟通, 居家安宁, 癌症末期",,,,
